职位,薪资,学历,工作经验,需要几人,工作地址,公司,公司类型,公司规模,公司行业,福利,职位描述,职位要求,职位链接
MacOS开发工程师-暑期提前批,1.5-2万/月,"['在校生/应届生', '本科']",无要求,无要求,安德门大街52号世茂城品B座14层,趋势科技（中国）有限公司,外资（欧美）,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)","五险一金||股票期权||弹性工作||年度旅游||,带薪年假||,节日福利,||体检||补充医疗保险||定期体检","工作职责:
作为一名开发工程师，你将与团队中的不同角色协作，将你的创新思维凝聚为代码，汇入产品的版本发布中，让全球的使用者受益。你的日常工作包括但不局限于，
1.与产品需求制定人商讨需求，理解并细化对指定特性的需求
2.根据需求和产品架构，选择、评估并确定适当的技术框架与模块
3.制定软件设计方案并向团队成员清晰阐述你的设计思路
4.制定单元测试方案以确保代码的正确性与可靠性
5.撰写代码并执行相关的单元测试
6.参与系统集成测试并解决代码中缺陷
7.协助撰写产品技术文档。参与交付产品流程，向全球销售以及技术支持团队完成产品演示以及相关培训","工作职责:
作为一名开发工程师，你将与团队中的不同角色协作，将你的创新思维凝聚为代码，汇入产品的版本发布中，让全球的使用者受益。你的日常工作包括但不局限于，
1.与产品需求制定人商讨需求，理解并细化对指定特性的需求
2.根据需求和产品架构，选择、评估并确定适当的技术框架与模块
3.制定软件设计方案并向团队成员清晰阐述你的设计思路
4.制定单元测试方案以确保代码的正确性与可靠性
5.撰写代码并执行相关的单元测试
6.参与系统集成测试并解决代码中缺陷
7.协助撰写产品技术文档。参与交付产品流程，向全球销售以及技术支持团队完成产品演示以及相关培训",https://jobs.51job.com/nanjing-yhtq/120506433.html?s=01&t=0
安全工程师-暑期提前批,1.5-2.5万/月,"['在校生/应届生', '本科']",无要求,无要求,安德门大街52号世茂城品B座14层,趋势科技（中国）有限公司,外资（欧美）,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)","五险一金||股票期权||弹性工作||年度旅游||,带薪年假||,节日福利,||体检||补充医疗保险||定期体检","工作职责:
作为一名安全工程师，你将会参与到趋势核心技术部门进行全球化威胁分析研究。需要做到知攻善守，在与网络威胁对抗中，不断创新和研发核心技术和解决方案，实用到趋势的各类产品中，为守护一个安全的数字世界贡献自己的力量。你日常的工作包括但不限于
1.研究和分析威胁发展趋势（包括恶意软件，网络攻击，系统漏洞利用等）
2.研究相关操作系统和应用的漏洞（包括Android，iOS，macOS，Windows，IOT等）
3.研究和实现安全防护技术来对抗已知和未知的威胁 （包括检测引擎，协同分析系统，沙箱技术等）
.
",:,https://jobs.51job.com/nanjing-yhtq/120516792.html?s=01&t=0
后台开发工程师-暑期提前批,1.5-2.5万/月,"['在校生/应届生', '本科']",无要求,无要求,安德门大街52号世茂城品B座14层,趋势科技（中国）有限公司,外资（欧美）,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)","五险一金||股票期权||弹性工作||年度旅游||,带薪年假||,节日福利,||体检||补充医疗保险||定期体检","工作职责:
作为一名开发工程师，你将与团队中的不同角色协作，将你的创新思维凝聚为代码，汇入产品的版本发布中，让全球的使用者受益。你的日常工作包括但不局限于，
1.与产品需求制定人商讨需求，理解并细化对指定特性的需求
2.根据需求和产品架构，选择、评估并确定适当的技术框架与模块
3.制定软件设计方案并向团队成员清晰阐述你的设计思路
4.制定单元测试方案以确保代码的正确性与可靠性
5.撰写代码并执行相关的单元测试
6.参与系统集成测试并解决代码中缺陷
7.协助撰写产品技术文档。参与交付产品流程，向全球销售以及技术支持团队完成产品演示以及相关培训","工作职责:
作为一名开发工程师，你将与团队中的不同角色协作，将你的创新思维凝聚为代码，汇入产品的版本发布中，让全球的使用者受益。你的日常工作包括但不局限于，
1.与产品需求制定人商讨需求，理解并细化对指定特性的需求
2.根据需求和产品架构，选择、评估并确定适当的技术框架与模块
3.制定软件设计方案并向团队成员清晰阐述你的设计思路
4.制定单元测试方案以确保代码的正确性与可靠性
5.撰写代码并执行相关的单元测试
6.参与系统集成测试并解决代码中缺陷
7.协助撰写产品技术文档。参与交付产品流程，向全球销售以及技术支持团队完成产品演示以及相关培训",https://jobs.51job.com/nanjing-yhtq/120507500.html?s=01&t=0
开发测试工程师-暑期提前批,1.5-2.5万/月,"['在校生/应届生', '本科']",无要求,无要求,安德门大街52号世茂城品B座14层,趋势科技（中国）有限公司,外资（欧美）,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)","五险一金||股票期权||弹性工作||年度旅游||,带薪年假||,节日福利,||体检||补充医疗保险||定期体检","工作职责:
作为一名测试工程师，你将与团队中的不同角色协作，运用你缜密的逻辑思维来确保产品达到设计目标并顺利发布，让全球的使用者受益。
你的日常工作包括但不局限于，
1.与产品需求制定人商讨需求，理解并细化对指定特性的需求
2.根据需求制定测试方案与计划并选择适当的测试工具以及测试框架
3.向团队成员清晰阐述你的设计思路以及计划
4.搭建产品测试环境并执行测试方案
5.针对测试过程中出现的问题进行因果分析，找出问题的原因
6.建立自动化测试框架并持续改进优化
7.协助撰写产品技术文档。参与交付产品流程，向全球销售以及技术支持团队完成产品演示以及相关培训
",":
1.本科、研究生及以上学历，计算机、软件等相关专业
2.熟练掌握至少一种脚本语言，例如:Python, Go, Perl",https://jobs.51job.com/nanjing-yhtq/120507891.html?s=01&t=0
大数据研发工程师-暑期提前批,1.5-2.5万/月,"['在校生/应届生', '本科']",无要求,无要求,安德门大街52号世茂城品B座14层,趋势科技（中国）有限公司,外资（欧美）,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)","五险一金||股票期权||弹性工作||年度旅游||,带薪年假||,节日福利,||体检||补充医疗保险||定期体检","工作职责:
作为一名大数据研发工程师，你将会参与到趋势科技大数据处理平台的建设和运维。你日常的工作包括但不限于
1. 理解业务需求，设计和实现业务数据收集，清洗和管理等相应批处理和流式处理技术方案
2. 基于数据分析，提供高效的大数据分析平台和数据可视化，从而推动业务发展和创新
3. 大数据平台运维
",:,https://jobs.51job.com/nanjing-yhtq/120510425.html?s=01&t=0
AI工程师-暑期提前批,1.5-2万/月,"['在校生/应届生', '硕士']",无要求,无要求,安德门大街52号世茂城品B座14层,趋势科技（中国）有限公司,外资（欧美）,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)","五险一金||股票期权||弹性工作||年度旅游||,带薪年假||,节日福利,||体检||补充医疗保险||定期体检","工作职责:
作为一名AI工程师，你将与趋势科技全球的AI工作者合作，将机器学习、深度学习等智能技术注入到我们的产品中，让全球的使用者获益。
你的日常工作包括但不限于：
1.深入研究产品中出现的问题，从ML/AI角度提出新的解决方案并做出原型系统证明有效性
2.深入研究收集到的各种安全数据并做分析、数据清洗与选择、特征设计与提取、各种方法建模以辅助决策
3.持续创新并申请专利，参与各类国际技术会议
4.在内部或者外部分享公司最前沿的技术
",:,https://jobs.51job.com/nanjing-yhtq/120510741.html?s=01&t=0
GO开发工程师,1-1.5万/月,['大专'],['3-4年经验'],['招2人'],仙林智谷,江苏梦立渊软件技术有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||专业培训||包吃包住||带薪年假||节日福利,,,https://jobs.51job.com/nanjing-qxq/121000784.html?s=01&t=0
管控SDN软件测试工程师,1-2万/月,['本科'],['1年经验'],['招2人'],紫荆花路68号中兴通讯一期,中兴通讯股份有限公司,上市公司,10000人以上,"通信/电信/网络设备,电子技术/半导体/集成电路",免费班车||员工旅游||交通补贴||五险一金||餐饮补贴||年终奖金||定期体检,,,https://jobs.51job.com/nanjing-yhtq/120413528.html?s=01&t=0
大数据开发人员,1.5-2万/月,['本科'],['3-4年经验'],无要求,天安数码城,南京莱斯网信技术研究院,国企,150-500人,计算机软件,五险一金||年终奖金||定期体检||员工旅游||节日福利||零食下午茶||免费午餐||项目奖||销售奖||年底双薪,,,https://jobs.51job.com/nanjing-qhq/120720307.html?s=01&t=0
分析/咨询师,1.5-2万/月,['本科'],['2年经验'],无要求,南京市,融奕数智科技（深圳）有限公司,外资（欧美）,少于50人,"计算机软件,金融/投资/证券",,,,https://jobs.51job.com/nanjing-jyq/98987642.html?s=01&t=0
数据库开发工程师,1.5-2万/月,['本科'],['2年经验'],无要求,天安数码城,南京莱斯网信技术研究院,国企,150-500人,计算机软件,五险一金||年终奖金||定期体检||员工旅游||节日福利||零食下午茶||免费午餐||项目奖||销售奖||年底双薪,,,https://jobs.51job.com/nanjing-qhq/120720393.html?s=01&t=0
IT Engineer,1-1.5万/月,无要求,无要求,无要求,南京市江宁区九龙湖国际企业总部园,台积电（南京）有限公司,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,,"1. Redhat Linux operation system and network administration.
2. Network attached storage (NAS) management
3. Manage the Job scheduler and workload management platform including LSF/SGE in high performance computing environment.
4. System troubleshooting and support users working efficiency
5. IT security infrastructure implementation and management
6. Continuously improvement on each jobs
7. IT new technology survey and recommendation
linux, Redhat, IBM LSF, Experienced, Communication

1. Minimum Bachelor degree in CS, CE, EE or related.
2. 3+ years Unix-like OS administration and storage management experience.
3. Python, perl and shell programming skill.
4. Effectively bilingual in Mandarin and English.","1. Redhat Linux operation system and network administration.
2. Network attached storage (NAS) management
3. Manage the Job scheduler and workload management platform including LSF/SGE in high performance computing environment.
4. System troubleshooting and support users working efficiency
5. IT security infrastructure implementation and management
6. Continuously improvement on each jobs
7. IT new technology survey and recommendation
linux, Redhat, IBM LSF, Experienced, Communication

1. Minimum Bachelor degree in CS, CE, EE or related.
2. 3+ years Unix-like OS administration and storage management experience.
3. Python, perl and shell programming skill.
4. Effectively bilingual in Mandarin and English.",https://jobs.51job.com/nanjing/119735831.html?s=01&t=0
爬虫工程师,1-2万/月,['本科'],['1年经验'],无要求,天安数码城,南京莱斯网信技术研究院,国企,150-500人,计算机软件,五险一金||年终奖金||定期体检||员工旅游||节日福利||零食下午茶||免费午餐||项目奖||销售奖||年底双薪,,,https://jobs.51job.com/nanjing-qhq/120719507.html?s=01&t=0
算法工程师,1-2万/月,['本科'],['1年经验'],无要求,天安数码城,南京莱斯网信技术研究院,国企,150-500人,计算机软件,五险一金||年终奖金||定期体检||员工旅游||节日福利||零食下午茶||免费午餐||项目奖||销售奖||年底双薪,"





","





",https://jobs.51job.com/nanjing-qhq/120719670.html?s=01&t=0
Java后端开发工程师,1.1-1.9万/月,['本科'],['3-4年经验'],['招1人'],紫东国际创意园,江苏达科云数据科技有限公司,民营公司,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||员工旅游||年终奖金||定期体检||电脑补贴||绩效奖金||专业培训,"1. 负责公司ToB端相关系统软件的研发和维护;
2. 参与产品方案评审，编写研发设计方案等;
3. 完成相关产品的代码开发、测试及部署上线等工作，优化系统性能，保证服务高效稳定。
4. 其他相关研发工作
","
1. 3~5年开发工作经验，计算机或相关专业，本科及以上学历;
2. 熟练使用 Java 语言，了解 JVM 性能调优及多线程编程;
3. 熟练使用 Spring Boot, 有大型网站开发经验者优先;",https://jobs.51job.com/nanjing-qxq/115648062.html?s=01&t=0
高级爬虫工程师,1-3万/月,['本科'],['1年经验'],无要求,天安数码城,南京莱斯网信技术研究院,国企,150-500人,计算机软件,五险一金||年终奖金||定期体检||员工旅游||节日福利||零食下午茶||免费午餐||项目奖||销售奖||年底双薪,,,https://jobs.51job.com/nanjing-qhq/120719399.html?s=01&t=0
大数据架构师,1.8-2.6万/月,['本科'],['5-7年经验'],['招1人'],绿都大道13号绿地之窗B2栋5楼,深圳市一应科技有限公司,民营公司,50-150人,"计算机软件,互联网/电子商务",补充医疗保险||五险一金||年终奖金||弹性工作,,"：
1、负责大数据平台（Hadoop，HBase，Spark等）集群环境的搭建，性能调优和日常维护；
2、负责数据仓库设计，数据ETL的设计、开发和性能优化；
3、基于Hadoop，Spark等构建数据分析平台，进行设计、开发分布式计算业务；
4、负责大数据平台相关技术的培训与指导工作。
任职要求：
学历背景：本科及以上学历；",https://jobs.51job.com/nanjing-yhtq/121077689.html?s=01&t=0
技术支持/维护工程师,0.8-1万/月,['本科'],['1年经验'],['招2人'],南京市建邺区江东中路102号万达广场A座1212室,南京宏龙资产管理有限公司,民营公司,少于50人,金融/投资/证券,五险一金||员工旅游||绩效奖金||弹性工作,"岗位职责：
1、维护公司计算机硬件、软件和网络环境，以及云端服务器、专网服务器，保证公司工作的日常运营；
2、对网络安全隐患、运营的IT风险即使评估和做出预防措施；
3、协助软件工程师完成软件设计工作，并协助进行产品测试；
4、完成日常运营工作的日志；
5、完成上级布置的预研课题；","岗位职责：
1、维护公司计算机硬件、软件和网络环境，以及云端服务器、专网服务器，保证公司工作的日常运营；
2、对网络安全隐患、运营的IT风险即使评估和做出预防措施；
3、协助软件工程师完成软件设计工作，并协助进行产品测试；
4、完成日常运营工作的日志；
5、完成上级布置的预研课题；",https://jobs.51job.com/nanjing-jyq/104020835.html?s=01&t=0
技术支持/维护工程师（实习）,4-6千/月,"['在校生/应届生', '本科']",无要求,['招4人'],南京市建邺区江东中路102号万达广场A座1212室,南京宏龙资产管理有限公司,民营公司,少于50人,金融/投资/证券,,"岗位职责：
1、维护公司计算机硬件、软件和网络环境，以及云端服务器、专网服务器，保证公司工作的日常运营；
2、完成上级交派的任务","岗位职责：
1、维护公司计算机硬件、软件和网络环境，以及云端服务器、专网服务器，保证公司工作的日常运营；
2、完成上级交派的任务",https://jobs.51job.com/nanjing-jyq/107714604.html?s=01&t=0
ETL工程师,0.8-1万/月,['大专'],无要求,['招4人'],中华大厦,上海凡思信息科技有限公司,民营公司,少于50人,计算机软件,,,,https://jobs.51job.com/shanghai-jaq/121111344.html?s=01&t=0
资深软件开发工程师,1.5-2万/月,['本科'],['5-7年经验'],['招1人'],玄武大道699-27号研发三区A栋三层,北京国信杰云科技有限公司南京分公司,民营公司,50-150人,计算机软件,,"工作职责：
1、参与项目需求分析,进行系统框架和核心模块的详细设计
2、根据产品开发进度和任务分配，开发相应的软件模块，负责主要功能的代码实现
3、能创新性的解决开发中的关键问题和技术难题","工作职责：
1、参与项目需求分析,进行系统框架和核心模块的详细设计
2、根据产品开发进度和任务分配，开发相应的软件模块，负责主要功能的代码实现
3、能创新性的解决开发中的关键问题和技术难题",https://jobs.51job.com/nanjing-xwq/121113194.html?s=01&t=0
数据管理工程师,1-1.8万/月,['本科'],['3-4年经验'],无要求,集慧路18号联创大厦A座,南京联创信息科技有限公司,民营公司,150-500人,"计算机软件,通信/电信/网络设备",五险一金||定期体检||补充医疗保险||餐饮补贴||通讯补贴,"岗位职责：
1、负责三十一个省数据的采集管理、数据治理以及质量管理工作
2、负责建立和优化平台各产品线归档数据存储结构、归档数据流程，完善内部数据管理后台及接口，提升数据管理及分析的效率
3、根据业务需求以及分析需求，进行外部数据接入、内部数据抽取，API接口开发等
4、负责编写、制定数据管理、数据集成方案并持续优化
","岗位职责：
1、负责三十一个省数据的采集管理、数据治理以及质量管理工作
2、负责建立和优化平台各产品线归档数据存储结构、归档数据流程，完善内部数据管理后台及接口，提升数据管理及分析的效率
3、根据业务需求以及分析需求，进行外部数据接入、内部数据抽取，API接口开发等
4、负责编写、制定数据管理、数据集成方案并持续优化
",https://jobs.51job.com/nanjing-glq/119175313.html?s=01&t=0
OPC Recipe Engineer (职位编号：2020_OPC_04),,['本科'],['3-4年经验'],['招3人'],--江浙沪地区,杭州积海半导体有限公司,民营公司,1000-5000人,电子技术/半导体/集成电路,,,,https://jobs.51job.com/shanghai-pdxq/121223683.html?s=01&t=0
C++开发工程师,1-1.5万/月,['本科'],['2年经验'],['招1人'],石鼓路98号9层F座,南京爱唯芙健康咨询管理有限公司,创业公司,少于50人,医疗设备/器械,五险一金||弹性工作||绩效奖金||年终奖金,"工作职责：
1、负责公司核心产品的Liunx客户端开发
2、负责输出相关的技术文档
","：
1、本科及本科以上学历，一年以上C++和Linux客户端开发经验
2、熟练掌握C++和相关开发环境
3、有过完整的Linux平台中大型项目开发经验
4、熟悉和了解QT或PYQT相关开发技术和数字图像处理相关技术者优先
5、有医疗行业软件开发经验者优先
岗位职责：
1、仪器控制软件的需求分析、软件详细规格的编写。
2、模块的结构设计、功能设计、代码编写、设计文档的编写。
3、模块的实现、调试、故障解决、统性能优化。
4、解决后台软件产品中的问题，负责产品的发布以及运维工作。
任职要求：
1、本科及以上学历，计算机或相关专业，3年及以上工作经验。
2、精通C/C++语言，熟悉Windows平台，熟练使用Visual Studio开发环境。
3、熟悉QT或者WPF开发平台，有实际开发经验。",https://jobs.51job.com/nanjing-qhq/120852149.html?s=01&t=0
数通软件系统测试工程师,1.2-2万/月,['本科'],['3-4年经验'],['招5人'],软件大道50号中兴通讯二区,中兴通讯股份有限公司,上市公司,10000人以上,"通信/电信/网络设备,电子技术/半导体/集成电路",免费班车||员工旅游||交通补贴||五险一金||餐饮补贴||年终奖金||定期体检,"工作职责：
1.        负责数通产品系统测试相关工作，协助系统测试的软件版本快速且高质量工程交付，尽力减少甚至杜绝问题泄漏。
2.        负责数通产品需求分析及用例转化，测试用例维护和手工测试执行；以功能稳定且快速交付为目标，协助过程中发现问题及时确认和验证解决。
3.        负责所承接功能的自动化用例编写、调试、维护执行及测试有效性提升。
4.        以最优效果展示产品技术竞争力为己任，以不断提升产品竞争力为目标追求，尽自己***努力将产品功能***一面呈现给客户。","工作职责：
1.        负责数通产品系统测试相关工作，协助系统测试的软件版本快速且高质量工程交付，尽力减少甚至杜绝问题泄漏。
2.        负责数通产品需求分析及用例转化，测试用例维护和手工测试执行；以功能稳定且快速交付为目标，协助过程中发现问题及时确认和验证解决。
3.        负责所承接功能的自动化用例编写、调试、维护执行及测试有效性提升。
4.        以最优效果展示产品技术竞争力为己任，以不断提升产品竞争力为目标追求，尽自己***努力将产品功能***一面呈现给客户。",https://jobs.51job.com/nanjing-yhtq/121167795.html?s=01&t=0
5G协议栈开发工程师 (职位编号：02),1.5-2万/月,['本科'],['3-4年经验'],无要求,南京市雨花台区软件大道118号新华汇B3栋2楼,北京佰才邦技术有限公司,外资（欧美）,150-500人,"通信/电信/网络设备,计算机软件",五险一金||员工旅游||定期体检||大牛带队||节日礼物||休闲零时||气氛好||领导好||发展空间大,"1. 负责5G/4G基站协议栈软件开发调试工作
",：,https://jobs.51job.com/nanjing-yhtq/116215410.html?s=01&t=0
性能测试工程师,3-6.5万/月,['本科'],['5-7年经验'],['招2人'],深南大道松日鼎盛大厦,南京艾默微网络科技有限公司,外资（非欧美）,500-1000人,"多元化业务集团公司,教育/培训/院校",五险一金||补充医疗保险||补充公积金||员工旅游||交通补贴||股票期权||绩效奖金||年终奖金||定期体检||出国机会,负责企业发展部相关系统的测试工作，包括移动端和PC端系统；负责部门自动化测试框架的搭建；负责相关产品自动化测试水平的提升。,负责企业发展部相关系统的测试工作，包括移动端和PC端系统；负责部门自动化测试框架的搭建；负责相关产品自动化测试水平的提升。,https://jobs.51job.com/shenzhen-nsq/121280636.html?s=01&t=0
.net交付工程师,0.8-1.6万/月,['本科'],['3-4年经验'],['招1人'],客户现场,南京英诺森软件科技有限公司,民营公司,150-500人,"计算机软件,专业服务(咨询、人力资源、财会)",五险一金||餐饮补贴||通讯补贴||交通补贴,"




","




",https://jobs.51job.com/nanjing/120925076.html?s=01&t=0
运维工程师,0.8-1万/月,['本科'],['3-4年经验'],无要求,南京市鼓楼区南昌路40号长江科技园2楼,南京欣网互联网络科技有限公司,民营公司,1000-5000人,"通信/电信运营、增值服务,互联网/电子商务",,"（1）参与设计、审核、优化公司系统以及各应用系统的体系架构；
（2）全面负责公司运维项目的系统升级、扩容需求与资源落实，配合开发需求，测试、调整运维平台；
（3）负责网络以及服务器的网络设置、维护和优化、网络的安全监控、系统性能管理和优化、网络性能管理和优化；
（4）负责运维相关流程的规划、设计、推行、实施和持续改进；
（5）负责日常网络及各子系统管理维护；
（6）负责设计并部署相关应用平台，并提出平台的实施、运行报告；
（7）负责配合开发搭建测试平台，协助开发设计、推行、实施和持续改进；
（8）负责相关故障、疑难问题排查处理，编制汇总故障、问题，定期提交汇总报告；
（9）负责网络监控和应急反应，以确保网络系统有7*24小时的持续运作能力；
（10）负责日常系统维护，及监控，提供软硬件方面的服务和支持，保证系统的稳定；
（11）负责数据库日常巡检、调优，搭建异地容灾。
2、","
（1）精通Linux及unix系统管理和应用管理；
（2）熟练使用linux系统上常用的nginx、mysql、redis、MQ、nginx、haproxy、keepalived等类软件；
（3）掌握服务器端脚本编程（shell、perl、python等）；
（4）深入研究运维相关技术，包括运维自动化技术、监控技术，网络技术等；",https://jobs.51job.com/nanjing-glq/120909234.html?s=01&t=0
沙箱研发工程师,24-48万/年,['本科'],['2年经验'],['招1人'],苏源大道19号九龙湖国际企业总部园A1-5F,瀚思安信（北京）软件技术有限公司,民营公司,150-500人,计算机软件,餐饮补贴||弹性工作||学习机会多||免费下午茶||五险一金||员工旅游,"1、分析高级恶意代码攻击和逃逸行为；
2、设计防御规则和程序，针对核心引擎开发新功能或维护重构已有代码
3、持续提升核心引擎的有效性、速度和扩展性能力

","：
1、熟练掌握C/C++和一门脚本语言如：python、ruby、perl；
2、熟练掌握反汇编，熟练使用一种或几种动态调试和静态分析工具如：ollydbg、windbg、IDA等；
3、熟悉常见的病毒木马的危害和技术手段，以及病毒和杀软的相互对抗；
4、了解基本的漏洞的攻击原理，漏洞缓解机制；",https://jobs.51job.com/nanjing-jnq/114911561.html?s=01&t=0
数据开发工程师,0.4-1万/月,无要求,无要求,无要求,正方中路888号,南京泽谷软件有限公司,民营公司,50-150人,"计算机软件,通信/电信/网络设备",五险一金||免费班车||员工旅游||交通补贴||餐饮补贴||通讯补贴||年终奖金,,"：
1、1年以上工作经验，熟悉标准 SQL,有扎实的数据库脚本开发基础；
2、熟悉Oracle、MySQL等至少一种数据库的日常管理；
3、熟悉Linux/Unix环境，掌握python/shell等语言中的一种或几种；
4、有一定的数据库以及SQL性能优化及故障处理能力；
5、有BI/ETL开发等数据仓库背景优先考虑；",https://jobs.51job.com/nanjing-jnq/77415806.html?s=01&t=0
大数据开发工程师,1-1.5万/月,['本科'],['2年经验'],无要求,正方中路888号,南京迈特望科技股份有限公司,上市公司,1000-5000人,"计算机软件,互联网/电子商务",五险一金||交通补贴||餐饮补贴||出国机会||通讯补贴||周末双休||员工旅游||定期体检||绩效奖金||专业培训,,,https://jobs.51job.com/nanjing-jnq/112728499.html?s=01&t=0
交付工程师,1-1.5万/月,['本科'],['3-4年经验'],['招2人'],广东省深圳市福田区福华三路 100 号鼎和大厦,南京英诺森软件科技有限公司,民营公司,150-500人,"计算机软件,专业服务(咨询、人力资源、财会)",补充医疗保险||交通补贴||年终奖金||股票期权||定期体检||六险一金||员工旅游||专业培训||出国机会,,,https://jobs.51job.com/shenzhen/120001703.html?s=01&t=0
大数据运维/中级运维工程师,0.8-1万/月,['大专'],['3-4年经验'],无要求,中山南路501号通服大厦,南京迈特望科技股份有限公司,上市公司,1000-5000人,"计算机软件,互联网/电子商务",五险一金||弹性工作||定期体检||年终奖金,"大数据运维：
1、熟悉Linux操作系统，熟悉Linux shell、pathon编程；
2、熟悉mysql、oracle等常用数据库运维操作；
3、具有良好的沟通能力及工作汇报能力，具有清晰的思维逻辑；
4、具有实际大型项目实施经验；
5、熟悉Hadoop生态环境，有以下一种或多种大数据技术使用经验者优先，如flume、Kafka、Hdfs、Hive、elasticsearch、Hbase、sparksql
6、本科及以上学历优先
中级运维：
1、精通Linux/Unix等操作系统
2、熟悉zabbix、nagios等常用监控系统，熟悉ELK等日志系统；","大数据运维：
1、熟悉Linux操作系统，熟悉Linux shell、pathon编程；
2、熟悉mysql、oracle等常用数据库运维操作；
3、具有良好的沟通能力及工作汇报能力，具有清晰的思维逻辑；
4、具有实际大型项目实施经验；
5、熟悉Hadoop生态环境，有以下一种或多种大数据技术使用经验者优先，如flume、Kafka、Hdfs、Hive、elasticsearch、Hbase、sparksql
6、本科及以上学历优先
中级运维：
1、精通Linux/Unix等操作系统
2、熟悉zabbix、nagios等常用监控系统，熟悉ELK等日志系统；",https://jobs.51job.com/nanjing-qhq/117200147.html?s=01&t=0
云平台检证&定制开发工程师,1.2-2.4万/月,无要求,无要求,['招2人'],雨花区软件大道11号4楼401室南京迈特望科技有限公司,南京迈特望科技股份有限公司,上市公司,1000-5000人,"计算机软件,互联网/电子商务",,,,https://jobs.51job.com/nanjing/117666292.html?s=01&t=0
通信设备检证工程师,1.2-2.4万/月,无要求,无要求,['招4人'],雨花区软件大道11号4楼401室南京迈特望科技有限公司,南京迈特望科技股份有限公司,上市公司,1000-5000人,"计算机软件,互联网/电子商务",,,,https://jobs.51job.com/nanjing/117666530.html?s=01&t=0
软件实施工程师,0.8-1.5万/月,['大专'],无要求,['招3人'],正方中路888号,南京迈特望科技股份有限公司,上市公司,1000-5000人,"计算机软件,互联网/电子商务",,"工作地点：南京、合肥、长沙
1. 参与合同类项目实施、软件系统的安装、部署、调试和维护，日常问题的分析和排查；
2. 项目需求整理、用户培训、配合PM与项目干系人（研发、第三方技术对接人、项目监理等）沟通协调等工作，日常工作向PM负责；
3. 编制项目执行规","的各类项目交付文档；
4. 负责配合完成客户培训、软件系统演示等工作；
5．能接受出差。
工作要求
1. 有政企交通行业的业务经验或集成项目交付、部署经验者优先；",https://jobs.51job.com/nanjing-jnq/118984371.html?s=01&t=0
网页搜索c++资深开发工程师,4-7万/月,['本科'],['5-7年经验'],['招2人'],东路1号院搜狐网络大厦,南京艾默微网络科技有限公司,外资（非欧美）,500-1000人,"多元化业务集团公司,教育/培训/院校",五险一金||补充医疗保险||补充公积金||员工旅游||交通补贴||股票期权||绩效奖金||年终奖金||定期体检||出国机会,"1. 网页检索数据制作的架构和性能优化；
2. 线上检索系统的架构和性能优化；
3. 通用搜索引擎的架构设计和开发；
",：,https://jobs.51job.com/beijing-hdq/121280021.html?s=01&t=0
LinuxC/C++开发（存储方向）,1.5-3万/月,['本科'],['5-7年经验'],['招2人'],孵鹰大厦A座309,南京云信达科技有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||员工旅游||专业培训||通讯补贴||餐饮补贴||绩效奖金||年终奖金||股票期权||定期体检,"岗位职责：
1、 负责公司分布式存储产品的开发、测试、优化和维护工作。
2、 负责解决项目中遇到的各种存储相关问题。
3、 负责公司分布式存储产品相关技术文档编写。
4、 负责跟踪存储行业最新发展技术、研究和积累新技术。
5、 完成上级领导交办的其它工作任务。
",：,https://jobs.51job.com/nanjing-pkq/112866449.html?s=01&t=0
SAP HANA工程师,1.5-3万/月,['本科'],无要求,['招1人'],孵鹰大厦A座309,南京云信达科技有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||员工旅游||专业培训||通讯补贴||餐饮补贴||绩效奖金||年终奖金||股票期权||定期体检,"
1.负责设计并建立SAP HANA的设计、性能优化、备份及快速恢复机制等解决方案的规划。
2.精通数据库的日常操作、配置、监控、灾难恢复和管理以及日志分析
3.为系统开发中的SQL优化提供建议
4.以业务目标为导向，积极钻研探索各种数据库新技术，推动数据库系统在公司的开发、落地与升级优化；
","：
1. 责任心强，具有良好的抗压能力；",https://jobs.51job.com/nanjing-pkq/116949288.html?s=01&t=0
软件工程师,0.6-1万/月,['本科'],['1年经验'],['招1人'],上海交通大学微纳电子学系生物电路与系统实验室（上海市闵行区东川路800号）,启东市知微电子科技有限公司,创业公司,少于50人,"计算机软件,电子技术/半导体/集成电路",五险一金||周末双休||朝九晚五||年终奖金||弹性工作,,,https://jobs.51job.com/shanghai-mhq/120020046.html?s=01&t=0
软件工程师,0.6-1万/月,['本科'],['1年经验'],['招1人'],启东经济开发区林洋路500号,启东市知微电子科技有限公司,创业公司,少于50人,"计算机软件,电子技术/半导体/集成电路",五险一金||周末双休||朝九晚五||年终奖金||弹性工作,,,https://jobs.51job.com/nantong/120215306.html?s=01&t=0
